Returns,0.05293705330583674
Volatility,0.09430256385614935
Sharpe Ratio,0.5613532775904988
VTSMX Weight,0.06790804886750641
VFINX Weight,0.0645698129773025
VIVAX Weight,0.007731102884978328
VIMSX Weight,0.05785078753183748
VMVIX Weight,0.036311629670127125
NAESX Weight,0.054976132274356125
VISVX Weight,0.025152975175514444
VDAIX Weight,0.06718922409055575
VGSIX Weight,0.06793991313649789
VCSAX Weight,0.0602756344489579
VHT Weight,0.05920354740993553
VDE Weight,0.020906984179133396
VGTSX Weight,0.007836543767600035
VTMGX Weight,0.005848267633633669
VTRIX Weight,0.03028252720819816
VFSVX Weight,0.021253469555866236
VEIEX Weight,0.021377633678887505
EWX Weight,0.001366520045153312
FM Weight,0.0011677646008703046
VNQI Weight,0.006169313965665451
EWD Weight,0.011685412431458611
EWA Weight,0.03642645372210939
EZA Weight,0.02958788904733398
GLD Weight,0.029489599948207726
PCRIX Weight,0.015209485926321237
EMB Weight,0.00019906695094040205
PIGLX Weight,0.05644473421944808
VICSX Weight,0.030999129961369772
VBMFX Weight,0.00854700569180642
VIPSX Weight,0.044068386689935936
VWITX Weight,0.003993871132840971
VFSTX Weight,0.02250479004575344
VFISX Weight,0.0255263411298964
